,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
bio1,1,0.067746896,-0.45238966,0.294560529,0.825319351,0.744016253,0.236319951,0.992831452,0.947143004,0.969712076,0.954009498,-0.317156495,-0.008319719,-0.316736468,0.380734237,-0.039172985,-0.321272921,-0.2885517,-0.267178913
bio2,0.067746896,1,0.136648862,0.760274473,0.586449422,-0.580186597,0.937182251,0.088643776,-0.119429245,0.24903336,-0.158426566,-0.455569206,-0.021411975,-0.580829821,0.61395544,-0.020870927,-0.578648725,-0.49211068,-0.59840019
bio3,-0.45238966,0.136648862,1,-0.431479653,-0.422199348,-0.287863882,-0.185716678,-0.457955603,-0.367166827,-0.515935443,-0.344220545,0.329503145,-0.080135019,0.350328879,-0.487404471,-0.05713612,0.356447672,0.31083055,0.291871797
bio4,0.294560529,0.760274473,-0.431479653,1,0.724074976,-0.36999388,0.916874291,0.334898657,0.073200703,0.494998126,-0.000108349,-0.629430167,-0.033063716,-0.688823505,0.828257563,-0.028323508,-0.69046303,-0.541900498,-0.659122948
bio5,0.825319351,0.586449422,-0.422199348,0.724074976,1,0.247091035,0.740350844,0.828228072,0.668823723,0.925961638,0.645290831,-0.562356069,-0.018421213,-0.621484386,0.716937783,-0.04689163,-0.624412889,-0.571453557,-0.575910082
bio6,0.744016253,-0.580186597,-0.287863882,-0.36999388,0.247091035,1,-0.468370057,0.720279525,0.847121152,0.577980006,0.888510362,0.130070211,0.022985193,0.196535733,-0.199596637,-0.005944823,0.192842186,0.145313328,0.238010163
bio7,0.236319951,0.937182251,-0.185716678,0.916874291,0.740350844,-0.468370057,1,0.255430118,0.022089937,0.443273519,-0.028069023,-0.602701743,-0.032605377,-0.702647992,0.791924011,-0.038535509,-0.702762909,-0.621885575,-0.689886219
bio8,0.992831452,0.088643776,-0.457955603,0.334898657,0.828228072,0.720279525,0.255430118,1,0.930546962,0.963874097,0.931198371,-0.320944552,0.009978508,-0.338213641,0.40102565,-0.018251362,-0.342495958,-0.258105258,-0.297012253
bio9,0.947143004,-0.119429245,-0.367166827,0.073200703,0.668823723,0.847121152,0.022089937,0.930546962,1,0.871275103,0.967980694,-0.200725803,-0.031352362,-0.15049148,0.19648842,-0.067297217,-0.154714566,-0.176130283,-0.087021355
bio10,0.969712076,0.24903336,-0.515935443,0.494998126,0.925961638,0.577980006,0.443273519,0.963874097,0.871275103,1,0.865722043,-0.448453706,-0.019665379,-0.458468108,0.55163148,-0.051390642,-0.463456611,-0.427691914,-0.404356204
bio11,0.954009498,-0.158426566,-0.344220545,-0.000108349,0.645290831,0.888510362,-0.028069023,0.931198371,0.967980694,0.865722043,1,-0.144201078,0.004352907,-0.126194322,0.152231969,-0.03151108,-0.130850548,-0.150297182,-0.081948218
bio12,-0.317156495,-0.455569206,0.329503145,-0.629430167,-0.562356069,0.130070211,-0.602701743,-0.320944552,-0.200725803,-0.448453706,-0.144201078,1,0.540801211,0.769128804,-0.699111894,0.581334416,0.773054581,0.719820908,0.72093954
bio13,-0.008319719,-0.021411975,-0.080135019,-0.033063716,-0.018421213,0.022985193,-0.032605377,0.009978508,-0.031352362,-0.019665379,0.004352907,0.540801211,1,0.041254535,0.142964636,0.972594682,0.043765756,0.300321267,0.052739622
bio14,-0.316736468,-0.580829821,0.350328879,-0.688823505,-0.621484386,0.196535733,-0.702647992,-0.338213641,-0.15049148,-0.458468108,-0.126194322,0.769128804,0.041254535,1,-0.881331682,0.083049621,0.99782278,0.656421844,0.944955132
bio15,0.380734237,0.61395544,-0.487404471,0.828257563,0.716937783,-0.199596637,0.791924011,0.40102565,0.19648842,0.55163148,0.152231969,-0.699111894,0.142964636,-0.881331682,1,0.114739905,-0.885339329,-0.61928079,-0.825982504
bio16,-0.039172985,-0.020870927,-0.05713612,-0.028323508,-0.04689163,-0.005944823,-0.038535509,-0.018251362,-0.067297217,-0.051390642,-0.03151108,0.581334416,0.972594682,0.083049621,0.114739905,1,0.084239372,0.363982282,0.085002557
bio17,-0.321272921,-0.578648725,0.356447672,-0.69046303,-0.624412889,0.192842186,-0.702762909,-0.342495958,-0.154714566,-0.463456611,-0.130850548,0.773054581,0.043765756,0.99782278,-0.885339329,0.084239372,1,0.659843646,0.948264764
bio18,-0.2885517,-0.49211068,0.31083055,-0.541900498,-0.571453557,0.145313328,-0.621885575,-0.258105258,-0.176130283,-0.427691914,-0.150297182,0.719820908,0.300321267,0.656421844,-0.61928079,0.363982282,0.659843646,1,0.580063084
bio19,-0.267178913,-0.59840019,0.291871797,-0.659122948,-0.575910082,0.238010163,-0.689886219,-0.297012253,-0.087021355,-0.404356204,-0.081948218,0.72093954,0.052739622,0.944955132,-0.825982504,0.085002557,0.948264764,0.580063084,1
