,bio1,bio4,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
bio1,1,0.28967230153735,0.990957170499129,0.97137313674652,0.984530907566402,0.986354641211166,-0.338624195588271,-0.20040332884072,-0.342862511128155,0.378928384256888,-0.208718777568219,-0.359555318452997,-0.372121182395144,-0.340133604231449
bio4,0.28967230153735,1,0.296799793280246,0.09981892709963,0.451118312533594,0.133404838343703,-0.64323097995215,-0.451353192588417,-0.609044935413716,0.799762333479519,-0.442923137422294,-0.65202626842056,-0.509445709115213,-0.738190373353888
bio8,0.990957170499129,0.296799793280246,1,0.95087451856348,0.97675640329787,0.973747500684278,-0.332520795656084,-0.21030498570424,-0.330232583029737,0.373810540754815,-0.215585950069488,-0.347499914975727,-0.340492639391273,-0.358144851819153
bio9,0.97137313674652,0.09981892709963,0.95087451856348,1,0.92381388463919,0.989986129780586,-0.232568245034714,-0.125717305908269,-0.24563139207168,0.22598197462325,-0.137622174553037,-0.2523273630068,-0.319720031671849,-0.189427085869049
bio10,0.984530907566402,0.451118312533594,0.97675640329787,0.92381388463919,1,0.944362856830134,-0.433227155410654,-0.267456515955792,-0.432577750849986,0.500602307845927,-0.273548512646635,-0.455871194836684,-0.440801397525125,-0.452067664416945
bio11,0.986354641211166,0.133404838343703,0.973747500684278,0.989986129780586,0.944362856830134,1,-0.243995670422187,-0.129253024984264,-0.256863187807336,0.262576049168901,-0.138840504462409,-0.267232583117296,-0.302571105421507,-0.230104373740048
bio12,-0.338624195588271,-0.64323097995215,-0.332520795656084,-0.232568245034714,-0.433227155410654,-0.243995670422187,1,0.83348106894676,0.931839985334352,-0.74481082914013,0.85701155102639,0.937326540456406,0.918268167737652,0.858182569328407
bio13,-0.20040332884072,-0.451353192588417,-0.21030498570424,-0.125717305908269,-0.267456515955792,-0.129253024984264,0.83348106894676,1,0.632657635369083,-0.353686934080609,0.984585434123172,0.633733916397126,0.674727395376651,0.725333385137046
bio14,-0.342862511128155,-0.609044935413716,-0.330232583029737,-0.24563139207168,-0.432577750849986,-0.256863187807336,0.931839985334352,0.632657635369083,1,-0.836224199894584,0.655526015443575,0.991068767137982,0.916603936742646,0.778512797153542
bio15,0.378928384256888,0.799762333479519,0.373810540754815,0.22598197462325,0.500602307845927,0.262576049168901,-0.74481082914013,-0.353686934080609,-0.836224199894584,1,-0.360767523857091,-0.865018016849952,-0.716846065321307,-0.750205323948493
bio16,-0.208718777568219,-0.442923137422294,-0.215585950069488,-0.137622174553037,-0.273548512646635,-0.138840504462409,0.85701155102639,0.984585434123172,0.655526015443575,-0.360767523857091,1,0.654442014088185,0.707677428949935,0.720644179936038
bio17,-0.359555318452997,-0.65202626842056,-0.347499914975727,-0.2523273630068,-0.455871194836684,-0.267232583117296,0.937326540456406,0.633733916397126,0.991068767137982,-0.865018016849952,0.654442014088185,1,0.910717595504544,0.801540811230058
bio18,-0.372121182395144,-0.509445709115213,-0.340492639391273,-0.319720031671849,-0.440801397525125,-0.302571105421507,0.918268167737652,0.674727395376651,0.916603936742646,-0.716846065321307,0.707677428949935,0.910717595504544,1,0.692986685957595
bio19,-0.340133604231449,-0.738190373353888,-0.358144851819153,-0.189427085869049,-0.452067664416945,-0.230104373740048,0.858182569328407,0.725333385137046,0.778512797153542,-0.750205323948493,0.720644179936038,0.801540811230058,0.692986685957595,1
