Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio1 contribution,bio15 contribution,bio16 contribution,bio4 contribution,bio1 permutation importance,bio15 permutation importance,bio16 permutation importance,bio4 permutation importance,Training gain without bio1,Training gain without bio15,Training gain without bio16,Training gain without bio4,Training gain with only bio1,Training gain with only bio15,Training gain with only bio16,Training gain with only bio4,Test gain without bio1,Test gain without bio15,Test gain without bio16,Test gain without bio4,Test gain with only bio1,Test gain with only bio15,Test gain with only bio16,Test gain with only bio4,AUC without bio1,AUC without bio15,AUC without bio16,AUC without bio4,AUC with only bio1,AUC with only bio15,AUC with only bio16,AUC with only bio4,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Artalt_0,87,0.3810,0.4953,480,0.7872,10,0.6310,0.7661,0.0696,10075,40.1396,44.6829,4.0696,11.1078,26.5844,20.2948,1.0566,52.0643,0.2562,0.2314,0.3600,0.3083,0.1786,0.1932,0.0196,0.0210,0.4072,0.5200,0.5849,-0.1068,0.1075,-0.3512,0.0445,0.2549,0.7355,0.7747,0.7643,0.5936,0.6265,0.5334,0.5767,0.7419,8.7241,0.3691,1.0000,0.1004,0.8281,0.0000,0.0000,1.516E-1,5.0000,0.2051,0.6817,0.0345,0.0000,2.167E-2,10.0000,0.2915,0.5748,0.0690,0.2000,1.3E-1,1.7154,0.1271,0.7922,0.0000,0.0000,9.73E-2,11.8984,0.3194,0.5432,0.0920,0.2000,9.225E-2,33.5276,0.5073,0.2959,0.2989,0.3000,9.754E-3,42.7457,0.5719,0.2232,0.3333,0.4000,1.119E-2,33.0464,0.5039,0.3000,0.2644,0.3000,1.06E-2,30.3379,0.4822,0.3243,0.2529,0.2000,2.793E-3,1.7154,0.1271,0.7922,0.0000,0.0000,9.73E-2,8.1172,0.2620,0.6103,0.0690,0.1000,5.296E-2
Artalt_1,87,0.3657,0.4653,420,0.7819,10,0.7415,0.7991,0.0634,10074,41.7126,39.5510,4.9514,13.7851,19.8406,20.1389,1.0731,58.9474,0.2535,0.2369,0.3401,0.2874,0.1647,0.1723,0.0392,0.0331,0.3547,0.4425,0.7465,0.0882,0.1896,-0.0824,-0.1674,0.1792,0.7038,0.7542,0.8145,0.6449,0.6794,0.6175,0.3566,0.6275,8.7534,0.3804,1.0000,0.1036,0.8371,0.0000,0.0000,1.69E-1,5.0000,0.2142,0.6929,0.0460,0.0000,2.55E-2,10.0000,0.2973,0.5868,0.0805,0.0000,4.837E-3,1.8315,0.1371,0.7966,0.0000,0.0000,1.029E-1,13.9159,0.3463,0.5235,0.0920,0.1000,1.562E-2,37.2215,0.5378,0.2709,0.2759,0.3000,5.732E-3,35.5956,0.5249,0.2843,0.2414,0.3000,7.678E-3,33.7851,0.5109,0.3000,0.2414,0.3000,1.059E-2,46.9084,0.6164,0.2001,0.4598,0.3000,8.676E-4,1.8315,0.1371,0.7966,0.0000,0.0000,1.029E-1,7.8056,0.2662,0.6284,0.0690,0.0000,9.61E-3
Artalt_2,87,0.4684,0.5793,500,0.7922,10,-0.2695,0.5946,0.0741,10077,41.3187,42.9000,5.7431,10.0383,24.4893,19.6093,2.9985,52.9030,0.3163,0.2990,0.4322,0.3962,0.2333,0.2347,0.0472,0.0183,-0.2501,-0.1593,-0.1799,-0.9938,-0.4576,-0.7821,-0.2417,0.2643,0.5749,0.6051,0.6187,0.3642,0.4250,0.4074,0.3749,0.7618,8.6614,0.3451,1.0000,0.0784,0.8106,0.0000,0.1000,4.085E-1,5.0000,0.1937,0.6544,0.0575,0.3000,5.257E-1,10.0000,0.2837,0.5491,0.0920,0.3000,2.641E-1,1.0396,0.0800,0.8079,0.0000,0.1000,4.001E-1,10.3059,0.2884,0.5438,0.0920,0.3000,2.531E-1,32.8654,0.4881,0.2812,0.2759,0.7000,5.657E-1,43.6913,0.5702,0.1984,0.3448,0.8000,6.193E-1,20.8687,0.3955,0.4000,0.2184,0.4000,1.663E-1,29.3613,0.4584,0.3126,0.2414,0.4000,5.726E-2,1.0396,0.0800,0.8079,0.0000,0.1000,4.001E-1,8.6641,0.2633,0.5731,0.0690,0.3000,3.173E-1
Artalt_3,87,0.3756,0.4744,440,0.7799,10,0.6474,0.8129,0.0486,10074,35.1292,49.6625,3.1773,12.0310,21.5325,21.5948,0.0000,56.8727,0.2680,0.2177,0.3601,0.3008,0.1641,0.2018,0.0195,0.0290,0.2739,0.5980,0.5524,-0.0710,0.2032,-0.4128,0.0130,0.1981,0.6879,0.8200,0.7930,0.5925,0.6859,0.4881,0.5229,0.6746,8.7384,0.3747,1.0000,0.1031,0.8306,0.0000,0.0000,1.562E-1,5.0000,0.2092,0.6866,0.0575,0.0000,2.329E-2,10.0000,0.2974,0.5808,0.0805,0.0000,4.368E-3,1.6148,0.1292,0.7999,0.0000,0.0000,1.072E-1,12.7854,0.3326,0.5352,0.0920,0.0000,1.93E-3,36.3364,0.5326,0.2759,0.2759,0.4000,3.185E-2,37.0630,0.5390,0.2699,0.2759,0.4000,2.867E-2,33.4651,0.5105,0.3000,0.2759,0.3000,1.059E-2,29.0619,0.4740,0.3402,0.2644,0.1000,4.233E-4,1.6148,0.1292,0.7999,0.0000,0.0000,1.072E-1,7.9592,0.2656,0.6191,0.0805,0.0000,8.274E-3
Artalt_4,87,0.3927,0.4925,340,0.7708,10,0.4079,0.7582,0.0778,10073,38.6210,44.2993,4.2167,12.8630,23.1205,19.0301,2.0791,55.7703,0.2744,0.2352,0.3716,0.3126,0.1809,0.1988,0.0133,0.0326,0.1700,0.4215,0.3827,-0.1932,0.0388,-0.4206,0.0861,0.1474,0.6815,0.7736,0.7709,0.5805,0.6244,0.4887,0.7026,0.6589,8.7243,0.3687,1.0000,0.0898,0.8366,0.0000,0.0000,1.679E-1,5.0000,0.2096,0.6835,0.0460,0.1000,1.253E-1,10.0000,0.2970,0.5793,0.0690,0.2000,1.361E-1,1.4048,0.1061,0.8126,0.0000,0.0000,1.255E-1,13.6304,0.3412,0.5217,0.0920,0.2000,7.167E-2,34.0494,0.5034,0.2917,0.2874,0.3000,8.954E-3,29.8480,0.4700,0.3301,0.2414,0.2000,3.174E-3,33.1040,0.4968,0.3000,0.2874,0.3000,1.059E-2,31.8109,0.4867,0.3116,0.2874,0.2000,2.096E-3,1.4048,0.1061,0.8126,0.0000,0.0000,1.255E-1,8.2790,0.2714,0.6105,0.0690,0.2000,1.849E-1
Artalt_5,87,0.3782,0.4763,340,0.7648,10,0.5035,0.7895,0.0408,10074,37.7827,45.4940,3.8352,12.8881,25.0999,17.3077,1.5331,56.0592,0.2703,0.2266,0.3573,0.2875,0.1588,0.1866,0.0157,0.0411,0.1092,0.4947,0.4846,0.0346,0.2683,-0.3179,0.0656,0.0931,0.6330,0.8117,0.7945,0.6550,0.7127,0.5738,0.6138,0.5785,8.7541,0.3797,1.0000,0.0967,0.8653,0.0000,0.0000,2.353E-1,5.0000,0.2081,0.7119,0.0345,0.0000,3.345E-2,10.0000,0.2925,0.6026,0.0805,0.0000,6.318E-3,1.9241,0.1298,0.8172,0.0000,0.0000,1.327E-1,13.4424,0.3319,0.5449,0.0920,0.0000,2.306E-3,33.9456,0.4987,0.2989,0.2989,0.1000,1.392E-4,33.4479,0.4943,0.3035,0.2644,0.1000,1.586E-4,37.2848,0.5259,0.2696,0.3563,0.3000,5.568E-3,34.9605,0.5064,0.2897,0.2989,0.1000,1.061E-4,1.9241,0.1298,0.8172,0.0000,0.0000,1.327E-1,8.6199,0.2712,0.6289,0.0690,0.0000,9.686E-3
Artalt_6,87,0.4097,0.5293,360,0.8013,10,0.3876,0.7262,0.0876,10074,48.6212,32.8847,4.6251,13.8690,24.4597,17.6774,0.5966,57.2664,0.2589,0.2820,0.3872,0.3130,0.2090,0.1695,0.0283,0.0355,0.4249,0.0529,0.3413,-0.2008,-0.2114,-0.1387,-0.0416,0.1379,0.7424,0.6818,0.7108,0.5730,0.4978,0.5507,0.4803,0.6569,8.6596,0.3457,1.0000,0.0890,0.7884,0.0000,0.0000,9.274E-2,5.0000,0.2016,0.6390,0.0345,0.2000,2.384E-1,10.0000,0.2915,0.5381,0.0690,0.2000,8.701E-2,1.4210,0.1041,0.7646,0.0000,0.0000,6.832E-2,16.2686,0.3626,0.4480,0.0920,0.3000,9.967E-2,33.1902,0.5049,0.2770,0.2759,0.3000,6.555E-3,30.1043,0.4819,0.3030,0.2184,0.3000,1.123E-2,30.4482,0.4849,0.3000,0.2299,0.3000,1.059E-2,39.6942,0.5531,0.2277,0.3563,0.3000,1.962E-3,1.4210,0.1041,0.7646,0.0000,0.0000,6.832E-2,8.0722,0.2624,0.5723,0.0575,0.2000,1.266E-1
Artalt_7,88,0.3647,0.4600,340,0.7722,9,0.7074,0.8559,0.0356,10076,31.4421,49.6153,5.1809,13.7617,14.7540,20.2636,4.1570,60.8254,0.2734,0.1987,0.3413,0.2841,0.1390,0.1957,0.0240,0.0310,0.2326,0.7601,0.6667,0.0406,0.3936,-0.3762,-0.0071,0.1774,0.7102,0.8764,0.8604,0.6339,0.8538,0.5103,0.5059,0.6675,8.7399,0.3755,1.0000,0.1025,0.8245,0.0000,0.0000,1.761E-1,5.0000,0.2191,0.6825,0.0341,0.0000,3.214E-2,10.0000,0.3049,0.5810,0.0795,0.0000,7.542E-3,1.7155,0.1322,0.7892,0.0000,0.0000,1.188E-1,12.5052,0.3370,0.5409,0.0909,0.0000,3.963E-3,35.7675,0.5214,0.2841,0.2841,0.1111,2.858E-4,36.7945,0.5301,0.2755,0.2841,0.1111,2.256E-4,43.7458,0.5789,0.2222,0.4318,0.2222,6.256E-4,39.9933,0.5524,0.2501,0.3409,0.1111,1.071E-4,1.7155,0.1322,0.7892,0.0000,0.0000,1.188E-1,7.8535,0.2733,0.6200,0.0682,0.0000,1.353E-2
Artalt_8,88,0.3948,0.5042,360,0.7863,9,0.4320,0.7527,0.0521,10075,37.0352,49.8836,4.7751,8.3061,19.5985,20.1386,5.2673,54.9956,0.2739,0.2342,0.3743,0.3394,0.1878,0.2206,0.0285,0.0128,0.1609,0.4447,0.3557,-0.4251,-0.0048,-0.6403,-0.0353,0.2953,0.6664,0.7760,0.7297,0.4872,0.5844,0.4067,0.4670,0.8152,8.7220,0.3687,1.0000,0.0969,0.8155,0.0000,0.0000,1.595E-1,5.0000,0.2103,0.6691,0.0455,0.0000,2.687E-2,10.0000,0.3016,0.5664,0.1023,0.0000,5.995E-3,2.1315,0.1382,0.7601,0.0000,0.0000,8.469E-2,9.7695,0.2975,0.5703,0.0909,0.0000,6.384E-3,35.0489,0.5264,0.2841,0.2841,0.3333,1.924E-2,40.6574,0.5625,0.2404,0.3182,0.5556,1.482E-1,29.3444,0.4842,0.3333,0.2614,0.3333,4.24E-2,14.0625,0.3533,0.5040,0.1250,0.0000,2.099E-3,2.1315,0.1382,0.7601,0.0000,0.0000,8.469E-2,7.6752,0.2629,0.6090,0.0795,0.0000,1.153E-2
Artalt_9,88,0.3989,0.4891,440,0.7831,9,0.4068,0.6824,0.0858,10075,42.1826,40.7676,5.1211,11.9287,20.0730,18.7776,2.3937,58.7557,0.2815,0.2541,0.3714,0.3068,0.1820,0.1884,0.0332,0.0388,0.0545,0.2484,0.4221,-0.1289,0.0427,-0.2932,-0.1092,0.1005,0.5785,0.6843,0.6984,0.5581,0.5959,0.5153,0.4177,0.5800,8.7339,0.3721,1.0000,0.0923,0.8466,0.0000,0.0000,2.233E-1,5.0000,0.2023,0.6892,0.0455,0.1111,1.775E-1,10.0000,0.2899,0.5806,0.0795,0.1111,5.627E-2,1.1480,0.0982,0.8375,0.0000,0.0000,2.027E-1,13.4400,0.3324,0.5241,0.0909,0.2222,1.159E-1,36.4357,0.5318,0.2703,0.2727,0.5556,2.056E-1,35.9014,0.5274,0.2746,0.2500,0.5556,2.147E-1,19.2305,0.3896,0.4445,0.1477,0.4444,3.656E-1,11.5992,0.3130,0.5532,0.0909,0.1111,4.01E-2,1.1480,0.0982,0.8375,0.0000,0.0000,2.027E-1,8.1230,0.2625,0.6164,0.0682,0.1111,8.477E-2
Artalt (average),87.3000,0.3930,0.4966,402.0000,0.7820,9.7000,0.4596,0.7538,0.0635,10074.7000,39.3985,43.9741,4.5696,12.0579,21.9552,19.4833,2.1155,56.4460,0.2726,0.2416,0.3695,0.3136,0.1798,0.1962,0.0268,0.0293,0.1938,0.3824,0.4357,-0.1956,0.0570,-0.3815,-0.0393,0.1848,0.6714,0.7558,0.7555,0.5683,0.6286,0.5092,0.5018,0.6763,8.7211,0.3680,1.0000,0.0953,0.8283,0.0000,0.0100,0.1940,5.0000,0.2073,0.6791,0.0436,0.0711,0.1230,10.0000,0.2947,0.5739,0.0802,0.1011,0.0703,1.5946,0.1182,0.7978,0.0000,0.0100,0.1440,12.7962,0.3289,0.5296,0.0917,0.1322,0.0663,34.8388,0.5152,0.2830,0.2830,0.3400,0.0854,36.5849,0.5272,0.2703,0.2772,0.3722,0.1045,31.4323,0.4881,0.3170,0.2715,0.3200,0.0633,30.7790,0.4796,0.3313,0.2718,0.1822,0.0108,1.5946,0.1182,0.7978,0.0000,0.0100,0.1440,8.1169,0.2661,0.6088,0.0699,0.0911,0.0819
